Pleurotus dryinus,Comestible,No tóxico
Pleurotus eryngii,Comestible,No tóxico
Pleurotus floridanus,Comestible,No tóxico
Pleurotus levis,Comestible,No tóxico
Pleurotus ostreatus,Comestible,No tóxico
Pluteus cervinus,Comestible,No tóxico
Pluteus harrisi,Comestible,No tóxico
Polyporus alveolaris,Comestible,No tóxico
Polyporus tuberaster,Comestible,No tóxico
Protostropharia semiglobata,No comestible,Tóxico
Psathyrella spadicea,Comestible,No tóxico
Pseudocraterellus undulatus,Comestible,No tóxico
Pseudofistulina radicata,Comestible,No tóxico
Pseudohydnum gelatinosum,Comestible,No tóxico
Pseudosperma rimosum,No comestible,Tóxico
Psilocybe caerulescens,No comestible,Tóxico
Psilocybe coprophila,No comestible,Tóxico
Psilocybe coronilla,No comestible,Tóxico
Psilocybe cubensis,No comestible,Tóxico
Psilocybe mexicana,No comestible,Tóxico
Psilocybe muliercula,No comestible,Tóxico
Psilocybe yungensis,No comestible,Tóxico
Ramaria abietina,Comestible,No tóxico
Ramaria aff. cystidiophora var. maculans,Comestible,No tóxico
Ramaria cystidiophora,Comestible,No tóxico
Ramaria apiculata,Comestible,No tóxico
Ramaria araiospora,Comestible,No tóxico
Ramaria armeniaca,Comestible,No tóxico
Ramaria aurea,Comestible,No tóxico
Ramaria bonii,Comestible,No tóxico
Ramaria botrytis,Comestible,No tóxico
Ramaria botrytoides,Comestible,No tóxico
Ramaria cacao,Comestible,No tóxico
Ramaria celerivirescens,Comestible,No tóxico
Ramaria cyaneigranosa,Comestible,No tóxico
Ramaria cystidiophora,Comestible,No tóxico
Ramaria cystidiophora var. fabiolens,Comestible,No tóxico
Ramaria fennica,Comestible,No tóxico
Ramaria fennica var. griseolilacina,Comestible,No tóxico
Ramaria flava,Comestible,No tóxico
Ramaria flava var. aurea,Comestible,No tóxico
Ramaria flavescens,Comestible,No tóxico
Ramaria flavigelatinosa,Comestible,No tóxico
Ramaria flavobrunnescens,Comestible,No tóxico
Ramaria formosa,Comestible,Tóxico
Ramaria gelatinosa,Comestible,No tóxico
Ramaria gracilis,Comestible,No tóxico
Ramaria holorubella,Comestible,No tóxico
